ttc_c_m,sub,ttc_R_m,ttc_L_m,rev,sev,d_sl2vsp,lddt,d_factor,drive_recorder_id,ttc_c_inv,ttc_R_m_inv,ttc_L_m_inv,d_sl2vsp_t,d_sl2vsp_t_inv,lddt_inv,AVG_d_judgment_id__1,AVG_d_judgment_rescale,AVG_d_judgment_id_Bit,AVG_d_judgment_id_floor
0,2,12.093,12.093,8.967778,9.801944,93.801667,0.042105,右折,559596,0,0.0826924667162822,0.0826924667162822,1.06003892893019,0.943361581078179,23.7501484384277,0,-1,0,0
0,2,11.225,11.225,8.615556,17.217778,21.793056,-0.982686,左折,559791,0,0.089086859688196,0.089086859688196,0.685795468531469,1.45816069934284,-0.982686,0,-1,0,0
0,2,8.045,8.045,0,8.783889,47.611944,-0.593047,右折,560566,0,0.124300807955252,0.124300807955252,0.998037722138116,1.00196613596697,-0.593047,0,-1,0,0
0,2,0.119,0.119,24.95,3.070556,29.988056,2.952133,左折,560821,0,8.40336134453782,8.40336134453782,0.486533875343639,2.05535534251074,0.338738125958417,0,-1,0,0
0,2,0.11,0,38.828889,4.469444,100.786944,4.41197,左折,561555,0,9.09090909090909,0,0.986978397258038,1.01319340198138,0.226656119601901,0,-1,0,0
0,2,0.154,0.154,24.536111,13.981944,47.456389,1.384405,左折,561587,0,6.49350649350649,6.49350649350649,0.97585537442166,1.02474201219894,0.722331976553104,0,-1,0,0
0,2,5.725,5.725,11.894444,3.626111,81.555278,1.240049,左折,562348,0,0.174672489082969,0.174672489082969,0.907654499026185,1.10174080674187,0.806419746316476,1,1,1,1
0,2,8.218,8.218,31.606667,3.765,86.641944,3.610715,左折,563772,0,0.121684108055488,0.121684108055488,0.995439453628646,1.00458144024203,0.276953456586853,0,-1,0,0
6.421,2,0.108,0.108,4.245833,6.523889,47.176667,-0.19535,前方車の減速,564786,0.155738981467061,9.25925925925926,9.25925925925926,0.833305535547814,1.20004003014645,-0.19535,0,-1,0,0
3.091,2,21.796,21.796,11.875556,11.162778,61.159444,0.138104,信号停止,564924,0.323519896473633,0.0458799779776106,0.0458799779776106,1.4422507428272,0.693360710662372,7.24091988646238,0,-1,0,0
0,3,1.88,1.88,11.158333,13.916111,59.600833,-0.275845,左折,706397,0,0.531914893617021,0.531914893617021,0.977285350945115,1.02324259647698,-0.275845,0,-1,0,0
0,3,9.805,9.805,7.244444,19.648889,71.463611,-1.306342,左折,706605,0,0.101988781234064,0.101988781234064,1.09336591415215,0.914606891486509,-1.306342,0,-1,0,0
18.077,3,2.94,0,3.805,11.327361,12.090556,-0.675451,信号停止,722706,0.0553189135365381,0.340136054421769,0,0.88055839773417,1.13564302216999,-0.675451,1,1,1,1
0,3,22.088,22.088,1.888889,27.583333,-19.261667,-2.253695,前方車の減速,723166,0,0.0452734516479536,0.0452734516479536,-1.08840058389578,-1.08840058389578,-2.253695,0,-1,0,0
65.333,3,0.974,0.974,18.779167,4.599444,72.772222,1.900479,前方車の減速,723830,0.0153062005418395,1.02669404517454,1.02669404517454,0.977391431129682,1.02313153988284,0.52618313593573,0,-1,0,0
3.478,3,0.062,0.062,9.273611,18.47,95.367222,-0.846229,前方車の減速,723920,0.287521564117309,16.1290322580645,16.1290322580645,1.00032632848693,0.99967377796861,-0.846229,0,-1,0,0
55.333,3,87.046,87.046,3.315278,6.079861,34.778333,-0.191239,信号停止,730566,0.0180723980264941,0.0114881786641546,0.0114881786641546,11.8003768897267,0.0847430560349808,-0.191239,1,1,1,1
2.619,3,4.122,4.122,12.588889,15.762222,82.545833,-0.326998,前方車の減速,730695,0.381825124093165,0.242600679281902,0.242600679281902,0.902852885702133,1.10760015926882,-0.326998,1,1,1,1
3.66,3,4.616,4.616,7.884722,14.546944,0,-0.56192,右折,738523,0.273224043715847,0.216637781629116,0.216637781629116,0,0,-0.56192,0,-1,0,0
0,3,8.787,8.787,16.2,4.028889,77.583333,1.571499,左折,741426,0,0.113804483896666,0.113804483896666,1.0638378867982,0.939992843279597,0.636335116980666,0,-1,0,0
6.267,3,11.082,11.082,1.942222,13.613333,45.365556,-1.051954,左折,746198,0.15956598053295,0.0902364194188775,0.0902364194188775,1.66191107764323,0.601716911002308,-1.051954,0,-1,0,0
0.833,3,5.828,5.828,5.807222,14.108889,50.271944,-0.852835,前方車の減速,753237,1.20048019207683,0.171585449553878,0.171585449553878,1.42279086792453,0.702843982586656,-0.852835,1,1,1,1
0,3,45.149,45.149,0,20.23,-3.674167,-1.51041,左折,758202,0,0.0221488848036501,0.0221488848036501,-0.117793224686081,-0.117793224686081,-1.51041,0,-1,0,0
0,3,2.481,2.481,12.866667,3.473333,79.364722,1.045769,左折,770106,0,0.403063280935107,0.403063280935107,1.06716841295335,0.937059219390253,0.956234120537136,0,-1,0,0
2.275,3,0.266,0.266,6.566667,12.622222,-1.593611,-0.563003,前方車の減速,775990,0.43956043956044,3.7593984962406,3.7593984962406,-0.0178750571740146,-0.0178750571740146,-0.563003,0,-1,0,0
0,5,16.11,16.11,10.984444,5.757778,0,0.695575,信号停止,779953,0,0.0620732464307883,0.0620732464307883,0,0,1.43765949034971,1,1,1,1
0,5,0.152,0.152,0,14.452778,6.701667,-0.957253,前方車の減速,782548,0,6.57894736842105,6.57894736842105,0.138440358065071,7.22332717118492,-0.957253,0,-1,0,0
0,5,0.119,0.119,7.226944,0.225556,-4.595556,1.050771,一時停止,785409,0,8.40336134453782,8.40336134453782,-0.0894560484481454,-0.0894560484481454,0.951682145776768,0,-1,0,0
0,5,0.139,0.139,5.496667,11.919167,56.271667,-0.406185,一時停止,785481,0,7.19424460431655,7.19424460431655,1.25210458742815,0.798655328029764,-0.406185,0,-1,0,0
0,5,0.069,0.069,9.187778,14.775833,62.9375,-0.11854,対向車とのすれ違い,816456,0,14.4927536231884,14.4927536231884,0.735848137442759,1.35897605649343,-0.11854,0,-1,0,0
0,5,0.201,0,10.454444,6.278472,-11.614167,0.706645,前方車の減速,843895,0,4.97512437810945,0,-0.173540037355248,-0.173540037355248,1.4151377282794,0,-1,0,0
0,5,0.546,0.546,0,14.3125,35.785833,-0.536879,一時停止,855553,0,1.83150183150183,1.83150183150183,1.77597186104218,0.563071984379964,-0.536879,1,1,1,1
0,5,53.341,53.341,3.526667,17.028889,55.585556,-1.507727,信号停止,857172,0,0.0187473050748955,0.0187473050748955,1.01218007890744,0.987966490191565,-1.507727,1,1,1,1
0,5,0.129,0.129,0.277778,18.633194,7.757778,-1.818219,信号停止,862941,0,7.75193798449612,7.75193798449612,0.169878350364963,5.88656528540346,-1.818219,1,1,1,1
0,5,0.118,0.118,4.7025,17.063333,9.173056,-1.236982,信号停止,888206,0,8.47457627118644,8.47457627118644,0.0932431714479331,10.7246459389082,-1.236982,1,1,1,1
0,6,8.978,8.978,5.170556,38.099444,76.186111,-2.409774,信号停止,1015096,0,0.111383381599465,0.111383381599465,1.37914215115402,0.725088417581345,-2.409774,0,-1,0,0
0,6,0.067,0.067,26.625,7.520833,62.750556,1.726714,信号停止,1168202,0,14.9253731343284,14.9253731343284,0.687426211429615,1.45470158596417,0.579134703257169,1,1,1,1
0,6,64.197,64.197,0.277778,61.749444,36.6925,-4.108964,前方車の減速,1219558,0,0.0155770518871598,0.0155770518871598,7.10559440559441,0.140734179706722,-4.108964,0,-1,0,0
0,6,7.539,7.539,9.148333,33.092222,47.903611,-2.533596,信号停止,1342787,0,0.132643586682584,0.132643586682584,1.05026187332521,0.952143484780534,-2.533596,1,1,1,1
0,6,50.003,50.003,6.896667,24.616667,44.881667,-2.186047,信号停止,1368187,0,0.0199988000719957,0.0199988000719957,2.51869058768511,0.397031697696176,-2.186047,1,1,1,1
0,6,10.035,10.035,15.103333,11.541528,27.130278,0.297113,信号停止,1441929,0,0.0996512207274539,0.0996512207274539,0.334838358531317,2.98651565605041,3.36572280580116,1,1,1,1
0,6,0,22.644,5.087222,30.107361,49.302778,-2.263999,信号停止,1442538,0,0,0.0441618088676912,3.24657034571063,0.308017351701989,-2.263999,1,1,1,1
0,6,0.08,0.08,11.808889,33.952222,0,-1.921053,前方車の減速,1644142,0,12.5,12.5,0,0,-1.921053,0,-1,0,0
0,6,0,0,9.825556,10.942361,80.431389,-0.09316,信号停止,1646036,0,0,0,1.10373179995426,0.906017204579449,-0.09316,0,-1,0,0
0,6,0.064,0.064,23.298611,7.100694,117.476111,1.517567,信号停止,1690496,0,15.625,15.625,1.00605181054785,0.993984593552339,0.658949489544778,1,1,1,1
0,6,0.091,0.091,13.694444,24.975694,80.849444,-1.056929,信号停止,1897537,0,10.989010989011,10.989010989011,1.20162661382215,0.832205269504801,-1.056929,0,-1,0,0
0,6,16.628,16.628,9.628889,10.139444,69.500833,-0.055979,前方車の減速,1945566,0,0.0601395236949723,0.0601395236949723,1.16205935070364,0.86054124463995,-0.055979,0,-1,0,0
0,6,0.063,0.063,8.19,25.78625,75.608611,-1.639869,前方車の減速,2214078,0,15.8730158730159,15.8730158730159,0.789737711367725,1.26624319138582,-1.639869,0,-1,0,0
0,6,12.245,12.245,1.572778,26.7925,74.945,-2.190585,信号停止,2228344,0,0.0816659861167824,0.0816659861167824,0.992904721598646,1.0071459811269,-2.190585,1,1,1,1
0,6,11.799,11.799,6.713056,28.294583,61.563889,-2.181728,信号停止,2242665,0,0.0847529451648445,0.0847529451648445,1.28847160281379,0.776113340655844,-2.181728,1,1,1,1
0,6,12.872,12.872,7.16,9.907778,71.343056,-0.278209,信号停止,2351566,0,0.0776880049720323,0.0776880049720323,0.993559000386847,1.00648275503583,-0.278209,1,1,1,1
0,6,0.152,0.152,5.303056,23.935139,71.704444,-1.751181,信号停止,2398303,0,6.57894736842105,6.57894736842105,1.12806886509636,0.886470703111357,-1.751181,0,-1,0,0
0,6,0.086,0.086,13.901389,16.936944,24.709444,-0.295423,信号停止,2514136,0,11.6279069767442,11.6279069767442,0.330364697318577,3.02695780789096,-0.295423,1,1,1,1
0,6,0.364,0.364,6.174722,27.928333,41.604444,-2.873134,信号停止,2672975,0,2.74725274725275,2.74725274725275,2.0979968959238,0.476645128476072,-2.873134,1,1,1,1
0,5,0.412,0.412,8.896667,5.968333,52.857222,0.488123,信号停止,2783923,0,2.42718446601942,2.42718446601942,1.39659448954128,0.716027456422553,2.04866396379601,0,-1,0,0
0.756,5,48.523,48.523,0.277778,13.968611,42.367778,-1.210624,右折,2927405,1.32275132275132,0.0206087834635121,0.0206087834635121,1.95669019627967,0.511067108069198,-1.210624,0,-1,0,0
0,5,68.4,68.4,3.082778,6.083889,39.551111,-0.217917,対向車とのすれ違い,3197917,0,0.0146198830409357,0.0146198830409357,1.92099297895305,0.520564109789201,-0.217917,0,-1,0,0
0,5,0.1,0.1,1.276667,12.742222,59.488056,-1.139492,信号停止,3322846,0,10,10,0.955588780509571,1.04647524164813,-1.139492,0,-1,0,0
0,5,0,12.527,6.434444,10.729722,41.244722,-0.445662,前方車の減速,3348051,0,0,0.079827572443522,1.06103329426897,0.942477493780227,-0.445662,0,-1,0,0
13.375,5,0.531,0.531,0.277778,13.063889,42.545833,-0.493552,右折,3400243,0.0747663551401869,1.88323917137476,1.88323917137476,0.952577889172212,1.0497829220758,-0.493552,0,-1,0,0
7.45,5,41.932,41.932,0.277778,14.175,-5.155833,-0.580496,一時停止,3431529,0.134228187919463,0.0238481350758371,0.0238481350758371,-0.150730865681338,-0.150730865681338,-0.580496,1,1,1,1
0,5,1.128,1.128,2.058889,17.941111,61.537778,-1.669569,前方車の減速,3472205,0,0.886524822695036,0.886524822695036,1.01107206791109,0.989049180308215,-1.669569,1,1,1,1
8.6,5,0,39.092,0.503889,13.010278,53.187778,-0.996136,前方車の減速,3571556,0.116279069767442,0,0.0255806814693543,1.58861694847756,0.629478365416122,-0.996136,0,-1,0,0
0,5,12.872,0,20.861111,15.588889,39.887778,0.76594,前方車の減速,3638744,0,0.0776880049720323,0,0.516290945960522,1.93689238175497,1.30558529388725,0,-1,0,0
12.778,5,50.842,50.842,3.111389,16.87,67.865833,-1.0879,一時停止,3643785,0.0782595085302864,0.0196687777821486,0.0196687777821486,1.09470830181916,0.913485353439108,-1.0879,0,-1,0,0
0,5,70.801,0,0.277778,26.062222,51.035,-1.982884,左折,3646264,0,0.0141240942924535,0,1.4021674425704,0.713181585622068,-1.982884,0,-1,0,0
0,5,0.919,0.919,3.403889,5.171944,41.482778,0.453306,一時停止,3714596,0,1.08813928182807,1.08813928182807,1.89371038295714,0.528063852318559,2.20601536269099,0,-1,0,0
0,5,39.874,39.874,9.822222,4.116667,15.912222,1.416697,一時停止,3728836,0,0.0250789988463661,0.0250789988463661,0.29032486544017,3.44441733739847,0.70586723907794,0,-1,0,0
0,5,0.272,0.272,2.053889,14.225556,27.098333,-1.232641,一時停止,3755807,0,3.67647058823529,3.67647058823529,0.818818187006883,1.22127233599367,-1.232641,0,-1,0,0
13.053,5,0.216,0.216,5.318056,6.348611,54.081111,0.808375,信号停止,3784932,0.0766107408258638,4.62962962962963,4.62962962962963,1.25107312427709,0.799313789573919,1.23704963661667,1,1,1,1
1.812,5,21.646,21.646,5.224444,5.165556,56.446944,0.115548,左折,3950714,0.551876379690949,0.0461979118543842,0.0461979118543842,0.9335645628704,1.07116319510386,8.65441201924741,0,-1,0,0
1.375,5,12.757,12.757,7.676667,12.414861,14.378889,-0.454359,前方車の減速,4025116,0.727272727272727,0.0783883358156306,0.0783883358156306,0.242749954980304,4.11946523360277,-0.454359,1,1,1,1
0,5,2.166,2.166,12.676667,7.042361,8.684444,0.630528,信号停止,4062145,0,0.461680517082179,0.461680517082179,0.170255396177095,5.87352895975071,1.58597239139261,0,-1,0,0
0,5,0.147,0.147,0.277778,19.999444,43.865833,-1.776658,歩行者の横断,4080106,0,6.80272108843537,6.80272108843537,0.908247534364755,1.10102143101266,-1.776658,0,-1,0,0
0,5,1.228,1.228,0.277778,12.807778,40.935556,-1.379776,信号停止,4149132,0,0.814332247557003,0.814332247557003,1.31566825819123,0.760070020519298,-1.379776,1,1,1,1
0,5,24.207,24.207,0.908333,5.026389,7.211111,0.005579,一時停止,4184324,0,0.0413103647705209,0.0413103647705209,0.327116930443548,3.05701083292775,179.243592041585,1,1,1,1
0,5,10.279,10.279,0,7.368056,-7.773333,0.071729,左折,4270498,0,0.0972857281836755,0.0972857281836755,-0.569938875763747,-0.569938875763747,13.9413626287833,0,-1,0,0
0,5,19.465,19.465,0,9.591667,34.975833,-0.732108,前方車の減速,4630085,0,0.051374261494991,0.051374261494991,2.80367398797595,0.356674850317361,-0.732108,0,-1,0,0
0,5,0.317,0.317,0,17.686111,34.988056,-1.395425,一時停止,4673772,0,3.15457413249211,3.15457413249211,1.87883355608592,0.532245124513983,-1.395425,0,-1,0,0
0,5,2.726,2.726,0,5.145833,39.418889,0.506448,一時停止,4765403,0,0.366837857666911,0.366837857666911,2.76139327495622,0.362136030774485,1.97453637885824,0,-1,0,0
0,5,0,7.173,2.519167,11.369722,44.037778,-0.089502,一時停止,4786060,0,0,0.13941168269901,2.01853833460657,0.495407980544946,-0.089502,0,-1,0,0
